team_name,matches_played,wins,draws,losses,goals_scored,goals_conceded,goal_difference,total_goal_count,points,points_per_game
Real Madrid CF,28,21,6,1,60,18,42,78,69,2.46
Girona FC,28,19,5,4,59,33,26,92,62,2.21
FC Barcelona,28,18,7,3,57,34,23,91,61,2.18
Club Atlético de Madrid,28,17,4,7,54,31,23,85,55,1.96
Athletic Club Bilbao,28,15,8,5,48,26,22,74,53,1.89
Real Sociedad de Fútbol,28,11,10,7,40,31,9,71,43,1.54
Real Betis Balompié,28,10,12,6,34,31,3,65,42,1.5
Valencia CF,27,11,7,9,32,31,1,63,40,1.48
UD Las Palmas,28,10,7,11,29,31,-2,60,37,1.32
CA Osasuna,28,10,6,12,31,39,-8,70,36,1.29
Villarreal CF,28,9,8,11,46,51,-5,97,35,1.25
Getafe Club de Fútbol,28,8,11,9,36,42,-6,78,35,1.25
Deportivo Alavés,28,8,8,12,26,33,-7,59,32,1.14
Sevilla FC,28,6,10,12,35,42,-7,77,28,1.0
Real Club Deportivo Mallorca,28,5,12,11,24,35,-11,59,27,0.96
Rayo Vallecano,28,5,11,12,23,38,-15,61,26,0.93
Real Club Celta de Vigo,28,5,9,14,30,43,-13,73,24,0.86
Cádiz CF,28,3,13,12,20,38,-18,58,22,0.79
Granada CF,27,2,8,17,30,57,-27,87,14,0.52
UD Almería,28,0,10,18,27,57,-30,84,10,0.36
